isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_379,>8,R,>32/2,R
AMC_380,>8,R,4/2,S
AMC_381,>8,R,32/2,R
AMC_382,>8,R,32/2,R
AMC_383,<=2,S,4/2,S
AMC_384,>8,R,16/2,R
AMC_385,<=2,S,4/2,S
AMC_386,>8,R,4/2,S
AMC_387,>8,R,>32/2,R
AMC_388,>8,R,>32/2,R
AMC_389,>8,R,8/2,S
AMC_390,<=2,S,4/2,S
AMC_391,>8,R,>32/2,R
AMC_392,>8,R,>32/2,R
AMC_393,>8,R,8/2,S
AMC_394,<=2,S,4/2,S
AMC_395,>8,R,>32/2,R
AMC_396,>8,R,>32/2,R
AMC_397,4,S,8/2,S
AMC_398,>8,R,8/2,S
AMC_399,<=2,S,<=2/2,S
AMC_400,>8,R,8/2,S
AMC_401,>8,R,8/2,S
AMC_402,<=2,S,4/2,S
AMC_403,>8,R,8/2,S
AMC_404,<=2,S,4/2,S
AMC_405,>8,R,8/2,S
AMC_406,>8,R,>32/2,R
AMC_407,<=2,S,4/2,S
AMC_408,>8,R,8/2,S
AMC_409,>8,R,>32/2,R
AMC_410,>8,R,8/2,S
AMC_411,<=2,S,4/2,S
AMC_412,>8,R,16/2,R
AMC_413,>8,R,>32/2,R
AMC_414,>8,R,>32/2,R
AMC_415,>8,R,32/2,R
AMC_416,<=2,S,4/2,S
AMC_417,<=2,S,4/2,S
AMC_418,>8,R,>32/2,R
AMC_419,<=2,S,4/2,S
AMC_420,>8,R,16/2,R
AMC_421,>8,R,8/2,S
AMC_422,<=2,S,4/2,S
AMC_423,>8,R,8/2,S
AMC_424,<=2,S,<=2/2,S
AMC_425,>8,R,4/2,S
AMC_426,<=2,S,<=2/2,S
AMC_427,<=2,S,<=2/2,S
AMC_428,>8,R,8/2,S
AMC_429,>8,R,16/2,R
AMC_430,>8,R,16/2,R
AMC_431,>8,R,16/2,R
AMC_432,<=2,S,4/2,S
AMC_433,>8,R,>32/2,R
AMC_434,<=2,S,4/2,S
AMC_435,<=2,S,<=2/2,S
AMC_436,>8,R,8/2,S
AMC_437,>8,R,4/2,S
AMC_438,<=2,S,4/2,S
AMC_439,>8,R,8/2,S
AMC_440,>8,R,8/2,S
AMC_441,>8,R,4/2,S
AMC_442,>8,R,16/2,R
AMC_443,<=2,S,4/2,S
AMC_444,>8,R,32/2,R
AMC_445,<=2,S,4/2,S
AMC_446,<=2,S,4/2,S
AMC_447,>8,R,>32/2,R
AMC_448,>8,R,32/2,R
AMC_449,>8,R,16/2,R
AMC_450,>8,R,16/2,R
AMC_451,>8,R,16/2,R
AMC_452,>8,R,4/2,S
AMC_453,>8,R,>32/2,R
AMC_454,<=2,S,4/2,S
AMC_455,<=2,S,4/2,S
